id,name,icon,cost,prereqTech,prereqStructure,minPop,effect,magnitude,notes
isru_extraction,Добыча ISRU (реголит/лёд/CO₂),⛏️,5000000000,,,20,none,0,Открывает первичную добычу: экскаватор (реголит) · ледовый рудник (первичная вода) · захват CO₂ — сырьё с Марса, не с Земли
electrolysis,Электролиз воды,⚡💧,4000000000,isru_extraction,,20,none,0,Открывает электролизёр: вода → водород + O₂ — сырьё для будущей химии (P2+)
regolith_metallurgy,Металлургия реголита (MRE),🔥⚗,6000000000,isru_extraction,,20,none,0,Открывает MRE-завод: металлы из реголита — сталь перестаёт зависеть только от земных слитков
regolith_construction,Строительство из реголита,🧱,5000000000,isru_extraction,,20,none,0,Открывает завод спекания (композит из реголита) и дешёвые жильё/склад из местного композита — объём стройки перестаёт зависеть от привозной стали/стекла
fabrication,Средства производства (фабрикация),🏭,6000000000,regolith_metallurgy,,25,none,0,Открывает фабрикационный цех (местные узлы из металла) и станочный цех (местный ЗИП) — components и часть spares перестают зависеть только от Земли
robotics,Робототехника,🤖,8000000000,,rnd_lab,80,opsCrewMult,0.7,Открывает робо-цех — снижает потребность в экипаже на 30% на всех объектах разом
education,Образование (школа),🏫,4000000000,,,30,none,0,Открывает школу — обучает специалистов из подрастающего поколения
higher_education,Высшее образование (университет),🎓,6000000000,education,,50,none,0,Открывает университет — крупный источник специалистов, гейт будущих хайтек-объектов
fusion,Термоядерная энергетика,☀️🔮,30000000000,robotics,,300,none,0,Открывает термоядерную электростанцию — ГВт-энергия без вечного топливного импорта (в отличие от ядерной) ценой малого постоянного расхода chips на обслуживание плазмы
closed_loop,Замкнутый цикл БЛСС,🌿♻,8000000000,electrolysis,,60,none,0,Открывает БЛСС-модуль — поднимает переработку воды/O₂ к почти полному замыканию цикла, но никогда не до конца
demographics,Демографическая программа,🏥👶,7000000000,higher_education,,60,none,0,Открывает демографический комплекс — усиливает рождаемость колонии при полностью обеспеченном балке
semiconductors,Полупроводники,💾,60000000000,fusion,,500,none,0,Открывает чип-фаб — крошечный местный выпуск chips ценой чудовищной энергии и тысяч специалистов; MES полупроводниковой фабрики на порядки больше колонии — импорт бесконечно ужимается, но не обнуляется
pharma_synthesis,Фармсинтез,💊🏭,20000000000,higher_education,,150,none,0,Открывает АПИ-завод — местный синтез простой фармацевтики из катализатора и обученных кадров
pgm_extraction,Извлечение платиноидов,🜛,18000000000,regolith_metallurgy,,150,none,0,Открывает завод извлечения PGM — катализатор из рассеянных платиноидов в реголите ценой чудовищных объёмов переработки грунта
agrotech,Агротехника,🌾🔬,6000000000,,,100,farmYieldMult,1.3,+30% к выпуску всех производителей еды (ферма/биореактор/базовый блок) — селекция культур и оптимизация теплиц под марсианский свет
deep_drilling,Глубокое бурение,🧊⛏️,6000000000,isru_extraction,,100,iceDepletionMult,0.5,Ледовый рудник вдвое медленнее исчерпывает месторождение при том же реальном объёме добычи — доступ к более глубоким и богатым линзам льда

